koi_score,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,O/P
1,10.181584,0.084708,0.38059,7.73,0.0884,812,102.91,12.776,1,5988,4.541,-0.52,0.836,0.885,N
1,20.06036336,0.036455,3.09445,1.96,0.115,361,4,40.4,4,3950,4.754,-0.46,0.493,0.502,N
1,46.1842039,0.033974,3.99779,1.83,0.2005,273,1.32,76.67,4,3950,4.754,-0.46,0.493,0.502,Y
0.952,23.9800854,0.011879,0.05654,1.31,0.1602,649,41.94,11.98,4,5854,4.406,-0.12,1.012,0.951,N
0.994,7.82502168,0.022312,2.54508,1.2,0.0614,494,14.05,20.2,4,3950,4.754,-0.46,0.493,0.502,N
1,3.895936525,0.08689,2.31292,7.34,0.046,1005,241.62,12.29,1,5557,4.592,-0.3,0.774,0.866,N
0.999,22.36646466,0.028938,1.12517,2.32,0.1449,536,19.45,31,1,5395,4.615,-0.34,0.734,0.821,N
1,1.625522174,0.080543,1.28198,9.73,0.0265,1579,1467.41,5.6364,1,5539,4.322,0.16,1.106,0.935,N
1,19.62034692,0.137595,23.21659,13.6,0.1389,643,40.39,77.9,1,5710,4.492,-0.1,0.905,0.928,N
0,7.544039,0.194187,0.00393,17.47,0.0731,838,116.46,2.28,1,5657,4.567,-0.18,0.824,0.919,N
1,9.02930689,0.028718,2.66613,2.57,0.0796,757,77.75,22.57,1,5349,4.526,-0.12,0.82,0.824,N
0.053,10.32803571,0.118805,0.23528,13.28,0.0888,843,119.31,10.988,1,5627,4.359,-0.1,1.024,0.874,N
1,143.2063047,0.094044,1.83449,8.9,0.5336,308,2.14,125.8,5,5485,4.556,0.21,0.867,0.986,N
0.95,6.164876,0.007192,0.69664,0.79,0.0648,1021,256.35,11.19,4,5854,4.406,-0.12,1.012,0.951,N
0.745,60.32494216,0.128744,2.37656,12.19,0.2998,411,6.77,77.04,5,5485,4.556,0.21,0.867,0.986,N
0,1.540397253,0.257087,0.06102,25.69,0.0264,1470,1105.68,1.971,1,5663,4.53,0.21,0.915,1.034,N
0,2.99025443,0.021279,0.17407,1.7,0.0367,918,168.45,4.349,1,4667,4.578,0.1,0.731,0.737,N
1,1.594745374,0.115879,1.77544,11.3,0.0258,1539,1329.42,6.203,1,5934,4.491,-0.38,0.893,0.901,N
1,4.783002698,0.028315,3.45234,2.5,0.0535,886,145.48,16.102,1,5170,4.574,0.18,0.807,0.891,N
1,20.50588921,0.041039,2.64998,3.41,0.1326,518,17.06,38.91,1,4905,4.544,-0.04,0.761,0.739,N
1,3.340218842,0.037683,3.23586,2.03,0.0348,656,43.73,12.4,4,3950,4.754,-0.46,0.493,0.502,N
0,2.507089906,0.295115,0.11003,30.26,0.0365,1326,730.47,3.32,1,5926,4.506,-0.04,0.939,1.03,N
1,18.64932728,0.027096,1.97596,3.12,0.139,701,57.13,33.12,3,5775,4.405,0.16,1.053,1.026,N
1,4.90144976,0.011136,0.3709,1.7,0.0586,1262,598.74,7.78,4,5847,4.191,0.26,1.402,1.113,N
0.998,9.75192101,0.024042,0.044,2.76,0.0902,870,135.66,6.05,3,5775,4.405,0.16,1.053,1.026,N
1,38.5576546,0.03498,0.19756,4.02,0.2255,550,21.71,24.9,3,5775,4.405,0.16,1.053,1.026,N
0.99,3.525632539,0.13372,2.43681,11.58,0.0431,975,213.12,11.699,1,5150,4.572,0.08,0.793,0.855,N
1,34.84398644,0.080046,1.86832,7.61,0.1971,511,16.1,49.31,1,5509,4.482,-0.16,0.871,0.84,N
1,7.748094239,0.046615,1.06292,5.52,0.081,964,204.39,15,1,5973,4.439,0.36,1.085,1.181,N
1,23.96793669,0.03141,3.03325,1.8,0.1322,329,2.77,45.2,2,3747,4.728,0.1,0.524,0.536,N
1,8.11437482,0.037204,3.76716,2.1,0.0649,460,10.55,23.58,1,3692,4.753,0.28,0.517,0.553,N
0,38.03672948,0.27018,6.21385,27.5,0.2252,500,14.81,78.037,1,5575,4.521,0.36,0.932,1.051,N
0,4.64090031,0.333559,0.00218,30.09,0.0503,1155,421.08,1.354,1,6463,4.5,-1.66,0.826,0.786,N
0,3.747838198,0.151387,0.00878,13.65,0.046,1031,266.76,1.868,1,5514,4.569,-0.04,0.826,0.926,N
0.992,14.74914825,0.018864,0.55575,2.89,0.1221,874,137.91,18.56,4,5847,4.191,0.26,1.402,1.113,N
1,21.81295996,0.030952,2.39175,3.38,0.1495,639,39.33,39.183,1,5601,4.41,0.08,0.999,0.934,N
0,7.91936937,0.121984,1.13074,10.34,0.0737,814,104,15.534,1,5690,4.588,-0.4,0.776,0.852,N
1,15.37562369,0.12103,2.43887,11.01,0.1121,600,30.54,31.24,1,4986,4.496,0.16,0.833,0.793,N
